,Momentum
0,0.0
1,0.0
2,-1.2234834747911485
3,1.2306702849117224
4,1.9530283600670533
5,2.335872479681246
6,2.73249868020529
7,0.25158010336037984
8,2.2908521813268594
9,1.6387403034925252
10,-0.7100369231267492
11,-0.0677650487367576
12,0.33202415471786595
13,0.07463739178032347
14,-1.7650275944391352
15,-1.1662807083729692
16,-1.3397140631734603
17,-1.3397140631734603
18,0.9448392162700359
19,2.2454501136432334
20,1.3743615927854043
21,1.1083916460168424
22,1.2020067358404254
23,-0.8831797396008718
24,-1.6697551568929212
25,-2.2516051342709127
26,-2.094558675436172
27,1.115958639264305
28,1.838920457112346
29,2.8584118653581037
30,0.15131390226097607
31,-0.8551444811711095
32,-2.91958461959831
33,-0.9686781655263863
34,0.18895157026211717
35,-0.43242248097628233
36,-0.27330998193642925
37,-1.437483805542704
38,-1.5307651756091867
39,-2.863576961948355
40,0.72029226810595
41,1.9727581730361718
42,4.108610471061995
43,1.539838670266751
44,1.607807082446232
45,-1.5004710877931813
46,-0.6875945069060828
47,-1.5829569472401066
48,-0.30127630900168445
49,0.8852952271925628
50,2.0298175990007716
51,3.3707007975639374
52,0.47615256647591864
53,1.0032135761046748
54,-0.46918549652941666
55,1.010024883040833
56,-1.373363233253279
57,0.13179024803123918
58,-1.5282136943239086
59,-0.7553231486254915
60,-0.42787337383938095
61,1.392744073388855
62,3.112959234510201
63,-0.2095015754539779
64,-1.7721540319739009
65,-3.557061669370116
66,-3.832650072208481
67,0.03169205592387092
68,1.7627591380244234
69,1.2187848011940714
70,-1.8640013929522707
71,-0.7493847860845946
72,-1.7904763912636417
73,-1.7904763912636417
74,-3.717187525085671
75,-4.144975921092502
76,-3.257470298348523
77,-3.6126255429155956
78,-4.5001311656595755
79,-3.168843439518392
80,-1.3799876270179987
81,1.615489862802702
82,1.2300147883830566
83,-0.43556357234987586
84,-0.5420002885599565
85,1.0027346069271026
86,2.4861000029872757
87,-0.7519521596574548
88,-2.1609237328482203
89,-1.1527456477897944
90,0.13708049494429309
91,1.538505723428779
92,-0.9366923589245363
93,-0.9366923589245363
94,-2.371697538068176
95,-2.4577730323149707
96,-3.8411227754641453
97,-2.0313600455040213
98,-0.564384572405493
99,-1.4136749861880977
100,0.06310939877084243
101,0.2028635610959335
102,0.6895750324133673
103,1.6359420822664188
104,2.563116971200843
105,2.550650262952586
106,-0.6525458821849246
107,-3.591557168015539
108,-4.927177222803847
109,-2.859898702852524
110,-0.6617041327059133
111,0.7331063608057882
112,-1.261493648554402
113,-2.6104665308068666
114,-2.0985318479496877
115,-0.5324269402403917
116,1.1343949255664345
117,2.5704203720864403
118,2.5989685028340928
119,2.349789710743465
120,3.083538924044245
121,1.6760448949356297
122,0.2175733474482588
123,-1.8465342256005928
124,-3.1232474473251193
125,-3.325451985364264
126,-0.2636742462402799
127,-0.5907536155898587
128,0.9142526135307459
129,0.9503132045992392
130,0.8080012380519971
131,0.8444637353707308
132,-1.8299242977587087
133,-1.8688900127141497
134,-1.6582986278280258
135,-1.9882312264885647
136,-1.9987934403711358
137,-0.09710846860972111
138,1.3517186253318427
139,2.773837379156944
140,2.32422836832222
141,-0.5441398938977069
142,0.8158723934828888
143,0.8443985648373674
144,-0.476797414630329
145,-1.711830038951625
146,-0.2652855977398758
147,1.1815960639780672
148,-0.43476444688449933
149,-2.6763836067121254
150,-0.4268496619825438
151,1.8548903225808693
152,1.2839104094181586
153,-1.040854899492003
154,-1.9863677954808052
155,-0.33174721351645386
156,-0.3958542683892171
157,1.0659727187721026
158,-0.9054776037768338
159,0.6717688438529601
160,0.7660324945617943
161,1.2992653472556532
162,-0.32805824861045163
163,-1.8915738776959723
164,-1.8915738776959723
165,-0.34894404792373135
166,-0.7935427829284262
167,-0.514242004218632
168,-2.1394931013422367
169,-2.209701417968766
170,-2.1167786202487564
171,-2.117087704254694
172,-2.174761274631944
173,0.3409692366675764
174,2.7000943871026406
175,2.7000943871026406
176,-0.5116944263843297
177,-1.162760682234965
178,0.867673178012469
179,1.7359636535884242
180,2.4872644576491134
181,-0.39186194734647206
182,-0.39186194734647206
183,-0.6885825034414736
184,3.286992340023385
185,3.9750402711105504
186,3.7695725019001394
187,0.9394409072727499
188,0.9338099940344882
189,-0.2372020799068174
190,0.1416913436624403
191,-1.8228838235119547
192,-1.8228838235119547
193,-1.8617415882636443
194,-1.901181767954737
195,0.10766611980198426
196,1.6130700474080455
197,3.1486710173324735
198,3.01422882988352
199,0.028464331853640723
200,0.152432326937619
201,-1.8410762114727441
202,0.40595073962086664
203,0.40595073962086664
204,-0.024826552422091308
205,-2.121014715518875
206,-3.61637839287322
207,-0.21789312076545408
208,1.7502669479532278
209,3.1025291048336703
210,0.7714700396963031
211,0.22043679162039342
212,-0.9745540959547364
213,-0.4575744577391979
214,-1.9549621980054934
215,-3.4359481411785207
216,-3.437679309301606
217,-0.5915029495157849
218,-1.070905301940386
219,-1.8347416260818123
220,-1.3794275623006684
221,-1.3794275623006684
222,-1.48113567522002
223,-4.259881475268475
224,-2.1090204003317248
225,-1.794282975309919
226,-1.794282975309919
227,-1.1343290625270952
228,0.3686527501298853
229,1.7895100502431949
230,-0.7619363802280825
231,-2.152390410895709
232,-1.2379288898504426
233,-0.9179910516199794
234,1.131288785339493
235,0.5360930101701199
236,0.09638829792513315
237,-1.8940884132812963
238,-1.8940884132812963
239,-1.5753580989868046
240,-1.6220646798537943
241,-0.294385418433575
242,-1.0164124895204196
243,-1.7278502571325363
244,-3.1968593156564644
245,-0.48546682429971855
246,1.4603464102887664
247,3.463666146528793
248,3.5023258740487755
249,0.26870225022907557
250,-0.3737587532872051
251,-1.7648846594089591
252,-1.8225684653550709
253,-1.6949817442531194
254,-0.2661048866125966
255,-1.0809450055942014
256,-2.3389401664127654
257,-3.1403228020055995
258,-0.8202449926042464
259,0.4048497245254832
260,2.305844489509966
261,2.7638630272276687
262,1.5579240866213948
263,1.5115266934050648
264,-0.47443245106173904
265,-0.2870392273095195
266,-2.0585889816280925
267,0.03909929246657151
268,1.5230342464114461
269,4.157220791656513
270,1.2489622954353212
271,1.358715532750298
272,0.923608633292172
273,-0.011606435895930245
274,0.13839323456300312
275,-1.2066388645324182
276,-1.2871651329223934
277,-3.4729455396732787
278,-0.2598385914481758
279,1.2763705758666126
280,0.9521846868945013
281,0.9521846868945013
282,-0.7068519856392428
283,-0.17207742094980782
284,-0.0506024463367552
285,1.4693406802546347
286,0.05195268803969777
287,-0.2071273924612792
288,-1.784544543926715
289,-0.30180269608857907
290,-0.11705442533380273
291,2.4858873406924875
292,1.0736090600568864
293,1.2144687510673051
294,0.9456859640854237
295,1.783659847487072
296,-0.046428906531586156
297,0.03640308526498526
298,1.6769043004941722
299,3.2940407943410324
